Date,Topic,Reading,Milestone
26-Aug,Introduction & course overview,Syllabus + selected readings on Canvas,TBD
28-Aug,Introduction to responsible AI,,TBD
2-Sep,TBD,,TBD
4-Sep,TBD,,TBD
9-Sep,TBD,,TBD
11-Sep,TBD,,TBD
16-Sep,TBD,,TBD
18-Sep,TBD,,TBD
23-Sep,TBD,,TBD
25-Sep,TBD,,TBD
30-Sep,TBD,,TBD
2-Oct,TBD,,TBD
7-Oct,TBD,,TBD
9-Oct,TBD,,TBD
14-Oct,TBD,,TBD
16-Oct,TBD,,TBD
21-Oct,TBD,,TBD
23-Oct,TBD,,TBD
28-Oct,TBD,,TBD
30-Oct,TBD,,TBD
4-Nov,TBD,,TBD
6-Nov,TBD,,TBD
11-Nov,TBD,,TBD
13-Nov,TBD,,TBD
18-Nov,TBD,,TBD
20-Nov,TBD,,TBD
25-Nov,TBD,,TBD
27-Nov,TBD,,TBD
2-Dec,TBD,,TBD
4-Dec,TBD,,TBD
9-Dec,TBD,,TBD
17-Dec,TBD,,TBD
